,category,name,count,p_count
0,q1,1) 5000원,100,20.0%
1,q1,2) 7000원,100,20.0%
2,q1,3) 10000원,100,20.0%
3,q1,4) 15000원,100,20.0%
4,q1,5) 20000원,100,20.0%
0,q4,1) 남성,198,39.6%
1,q4,2) 여성,302,60.4%
0,q5_1,22,1,0.2%
1,q5_1,24,3,0.6%
2,q5_1,25,3,0.6%
3,q5_1,26,3,0.6%
4,q5_1,27,2,0.4%
5,q5_1,28,5,1.0%
6,q5_1,29,8,1.6%
7,q5_1,30,6,1.2%
8,q5_1,31,11,2.1999999999999997%
9,q5_1,32,10,2.0%
10,q5_1,33,10,2.0%
11,q5_1,34,12,2.4%
12,q5_1,35,18,3.5999999999999996%
13,q5_1,36,20,4.0%
14,q5_1,37,17,3.4000000000000004%
15,q5_1,38,23,4.6%
16,q5_1,39,14,2.8000000000000003%
17,q5_1,40,22,4.3999999999999995%
18,q5_1,41,26,5.2%
19,q5_1,42,30,6.0%
20,q5_1,43,36,7.199999999999999%
21,q5_1,44,26,5.2%
22,q5_1,45,26,5.2%
23,q5_1,46,29,5.800000000000001%
24,q5_1,47,19,3.8%
25,q5_1,48,7,1.4000000000000001%
26,q5_1,49,14,2.8000000000000003%
27,q5_1,50,18,3.5999999999999996%
28,q5_1,51,7,1.4000000000000001%
29,q5_1,52,12,2.4%
30,q5_1,53,10,2.0%
31,q5_1,54,16,3.2%
32,q5_1,55,14,2.8000000000000003%
33,q5_1,56,5,1.0%
34,q5_1,57,5,1.0%
35,q5_1,58,4,0.8%
36,q5_1,59,8,1.6%
0,q6,1) 만20-29세,25,5.0%
1,q6,2) 만30-39세,141,28.199999999999996%
2,q6,3) 만40-49세,235,47.0%
3,q6,4) 만50-59세,99,19.8%
0,q7,1) 서울,130,26.0%
1,q7,10) 충청북도,11,2.1999999999999997%
2,q7,11) 충청남도,15,3.0%
3,q7,12) 전라북도,5,1.0%
4,q7,13) 전라남도,10,2.0%
5,q7,14) 경상북도,15,3.0%
6,q7,15) 경상남도,26,5.2%
7,q7,16) 제주도,4,0.8%
8,q7,17) 세종,4,0.8%
9,q7,2) 부산,33,6.6000000000000005%
10,q7,3) 대구,24,4.8%
11,q7,4) 인천,35,7.000000000000001%
12,q7,5) 광주,12,2.4%
13,q7,6) 대전,17,3.4000000000000004%
14,q7,7) 울산,8,1.6%
15,q7,8) 경기도,139,27.800000000000004%
16,q7,9) 강원도,12,2.4%
0,q8,1) 예,418,83.6%
1,q8,2) 아니오,82,16.400000000000002%
0,q9,1) 세대주,306,61.199999999999996%
1,q9,3) 세대주 배우자,194,38.800000000000004%
0,q10,1) 예,315,75.35885167464114%
1,q10,2) 아니오,103,24.641148325358852%
0,q11_1,1.0,19,6.031746031746032%
1,q11_1,2.0,12,3.8095238095238098%
2,q11_1,3.0,19,6.031746031746032%
3,q11_1,4.0,11,3.492063492063492%
4,q11_1,5.0,25,7.936507936507936%
5,q11_1,6.0,25,7.936507936507936%
6,q11_1,7.0,20,6.349206349206349%
7,q11_1,8.0,31,9.841269841269842%
8,q11_1,9.0,19,6.031746031746032%
9,q11_1,10.0,24,7.6190476190476195%
10,q11_1,11.0,34,10.793650793650794%
11,q11_1,12.0,27,8.571428571428571%
12,q11_1,13.0,16,5.079365079365079%
13,q11_1,14.0,8,2.5396825396825395%
14,q11_1,15.0,8,2.5396825396825395%
15,q11_1,16.0,9,2.857142857142857%
16,q11_1,17.0,3,0.9523809523809524%
17,q11_1,18.0,2,0.6349206349206349%
18,q11_1,24.0,1,0.31746031746031744%
19,q11_1,27.0,1,0.31746031746031744%
20,q11_1,28.0,1,0.31746031746031744%
0,q12,1) 예,500,100.0%
0,q13_1,1) 미술관,440,100.0%
0,q13_2,2) 박물관,500,100.0%
0,q13_3,3) 야구 경기장,363,100.0%
0,q13_4,4) 축구 경기장,266,100.0%
0,q13_5,5) 영화관,493,100.0%
0,q14,1) 일년에 5회 이상 방문,77,15.4%
1,q14,2) 일년에 5회 미만 3회 이상 방문,82,16.400000000000002%
2,q14,3) 일년에 3회 미만 1회 이상 방문,172,34.4%
3,q14,4) 일년에 1회 미만 방문,169,33.800000000000004%
0,q15,"1) 특정 전시물, 역사적 유물 등의 흥미로운 관람 목적",150,30.0%
1,q15,2) 유물과 전시물을 통해 역사와 문화에 대한 교육적인 목적,139,27.800000000000004%
2,q15,"3) 가족, 친구, 연인과의 여가 및 휴식 목적",201,40.2%
3,q15,4) 자료 조사 및 연구 등 학습 목적,8,1.6%
4,q15,5) 기타(구체적으로 응답해 주십시오),2,0.4%
0,q15_5,자녀교육,1,50.0%
1,q15_5,혼자 여가,1,50.0%
0,q16,1) 전시 구성의 지루함 및 전시물에 대한 해설 부족,193,38.6%
1,q16,2) 다른 관람객으로 인한 혼잡 및 소음,63,12.6%
2,q16,3) 주차공간 부족 및 불편한 시설,38,7.6%
3,q16,4) 집에서 먼 거리를 이동해야 하는 시간적인 문제,166,33.2%
4,q16,"5) 관람료, 프로그램 참여 비용 등의 금전적인 문제",37,7.3999999999999995%
5,q16,6) 기타(구체적으로 응답해 주십시오),3,0.6%
0,q16_6,대체적으로 너무 어두움 그리고 청동거울 복원해논게 없음,1,33.33333333333333%
1,q16_6,비슷비슷한 진시물,1,33.33333333333333%
2,q16_6,없음,1,33.33333333333333%
0,q17,2) 불만족,12,2.4%
1,q17,3) 보통,231,46.2%
2,q17,4) 만족,241,48.199999999999996%
3,q17,5) 매우 만족,16,3.2%
0,q18,1) 네,451,90.2%
1,q18,2) 아니요,49,9.8%
0,q19,1) 일주일에 1-2회,69,13.8%
1,q19,2) 한 달에 1-2회,265,53.0%
2,q19,3) 거의 접한 적이 없음.,166,33.2%
0,q20,1) 거의 매일 이용,8,1.6%
1,q20,2) 일주일에 1-2회 이용,28,5.6000000000000005%
2,q20,3) 한 달에 1-2회 이용,103,20.599999999999998%
3,q20,4) 거의 이용하지 않음,361,72.2%
0,q21,1) 매일 이용,12,3.8095238095238098%
1,q21,2) 일주일에 3-4회 이용,27,8.571428571428571%
